label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,1896,122.0,106,106,0.368,0.330,0.138,0.164,large,none,early,partial,ignore,4,late,flood|immigration|pandemic,3,11,false,true,true,false,0.000,0.000
random,-774,9.0,118,118,0.257,0.246,0.367,0.131,small,large,early,full,committed,0,spread,flood|immigration|pandemic,5,14,true,true,false,true,0.000,0.118
random,-645,465.0,96,96,0.199,0.244,0.348,0.209,medium,medium,early,partial,ignore,2,year0,flood|pandemic|immigration,2,10,true,true,false,false,0.000,0.000
random,382,108.0,127,127,0.330,0.229,0.267,0.175,small,large,never,partial,opportunistic,2,year0,immigration|flood|pandemic,0,13,false,true,false,false,0.000,0.000
random,870,19.0,129,129,0.269,0.370,0.313,0.049,medium,none,after-flood,partial,opportunistic,2,late,immigration|pandemic|flood,6,7,false,true,false,true,0.000,0.000
random,106,238.8,107,107,0.376,0.297,0.178,0.149,large,medium,never,partial,opportunistic,2,year0,pandemic|flood|immigration,11,1,false,true,false,true,0.000,0.026
random,1126,220.0,110,110,0.268,0.173,0.364,0.195,large,none,after-flood,none,opportunistic,2,late,pandemic|flood|immigration,6,14,false,true,false,true,0.000,0.000
random,1390,8.8,101,101,0.532,0.200,0.043,0.225,small,small,after-flood,full,opportunistic,2,year0,pandemic|immigration|flood,6,4,true,true,false,false,0.000,0.000
random,1288,94.0,83,83,0.419,0.145,0.084,0.351,mixed,none,after-flood,partial,committed,4,year0,pandemic|immigration|flood,7,7,true,true,false,false,0.000,0.000
random,156,130.3,93,93,0.255,0.379,0.267,0.098,large,small,after-flood,none,committed,2,late,flood|immigration|pandemic,11,5,false,true,false,true,0.000,0.033
random,1687,451.5,114,114,0.470,0.023,0.344,0.163,large,small,after-flood,full,ignore,2,late,pandemic|flood|immigration,1,9,true,true,false,false,0.067,0.083
random,2000,10.0,124,124,0.611,0.154,0.164,0.071,small,none,after-flood,partial,opportunistic,0,year0,pandemic|immigration|flood,6,7,false,true,false,true,0.000,0.000
random,59,2.3,111,111,0.353,0.192,0.399,0.056,medium,none,early,full,committed,4,spread,pandemic|flood|immigration,3,2,true,true,false,true,0.000,0.000
random,-139,33.3,97,97,0.473,0.393,0.029,0.105,large,small,never,full,ignore,0,late,flood|immigration|pandemic,4,1,true,true,false,false,0.000,0.000
random,2169,89.5,117,117,0.497,0.066,0.304,0.134,large,small,early,partial,opportunistic,4,spread,immigration|flood|pandemic,8,6,false,true,false,true,0.000,0.083
random,710,203.8,122,122,0.372,0.234,0.275,0.119,mixed,none,early,partial,committed,2,year0,pandemic|immigration|flood,1,4,true,true,false,true,0.000,0.000
random,2528,71.8,97,97,0.509,0.248,0.140,0.102,large,medium,after-flood,none,committed,4,late,immigration|flood|pandemic,9,15,false,true,true,true,0.000,0.000
random,932,47.8,115,115,0.178,0.283,0.305,0.233,mixed,none,after-flood,partial,ignore,0,late,flood|pandemic|immigration,9,7,false,true,false,true,0.000,0.000
random,731,137.5,83,83,0.262,0.350,0.182,0.205,medium,medium,after-flood,none,ignore,3,late,pandemic|flood|immigration,5,11,false,true,false,false,0.000,0.000
random,533,213.5,120,120,0.309,0.186,0.274,0.231,mixed,small,never,full,opportunistic,1,year0,immigration|flood|pandemic,11,10,false,true,false,true,0.000,0.000
random,1977,18.5,101,101,0.489,0.108,0.195,0.208,mixed,none,after-flood,full,ignore,1,year0,immigration|pandemic|flood,9,7,false,true,false,false,0.000,0.000
random,283,21.5,84,84,0.664,0.272,0.019,0.045,large,small,after-flood,partial,ignore,2,year0,pandemic|flood|immigration,7,11,true,true,false,false,0.000,0.000
random,-349,73.5,111,111,0.243,0.265,0.240,0.252,small,large,after-flood,partial,committed,4,spread,immigration|flood|pandemic,5,9,true,true,false,true,0.000,0.068
random,76,129.0,122,122,0.277,0.210,0.319,0.194,medium,medium,after-flood,full,ignore,4,year0,immigration|pandemic|flood,1,0,true,true,false,false,0.000,0.000
random,1757,749.5,117,117,0.323,0.119,0.267,0.291,small,small,early,none,opportunistic,0,late,flood|pandemic|immigration,4,6,true,true,false,true,0.000,0.000
random,2315,102.0,124,124,0.380,0.211,0.249,0.159,small,medium,never,full,ignore,4,late,pandemic|immigration|flood,8,1,true,true,true,false,0.000,0.000
random,-394,182.5,117,117,0.242,0.401,0.086,0.272,small,none,early,full,committed,3,year0,pandemic|flood|immigration,0,5,true,true,false,false,0.000,0.000
random,1816,226.5,91,91,0.544,0.169,0.190,0.098,small,medium,never,none,ignore,0,late,immigration|pandemic|flood,1,0,false,false,false,false,0.000,0.222
random,1785,9.5,107,107,0.487,0.256,0.071,0.186,small,large,never,partial,opportunistic,4,late,immigration|flood|pandemic,5,15,true,true,true,false,0.000,0.000
random,469,282.3,62,62,0.305,0.193,0.191,0.311,large,none,after-flood,none,ignore,2,year0,flood|pandemic|immigration,11,15,false,true,false,false,0.000,0.000
random,581,25.5,119,119,0.314,0.335,0.243,0.108,large,large,early,full,committed,3,late,immigration|pandemic|flood,8,10,true,true,true,true,0.000,0.000
random,1857,250.3,83,83,0.478,0.044,0.366,0.112,large,medium,never,none,opportunistic,1,spread,immigration|pandemic|flood,8,3,false,false,false,true,0.000,0.111
random,2090,116.0,140,140,0.503,0.200,0.181,0.116,small,small,never,full,opportunistic,1,late,pandemic|immigration|flood,0,4,true,true,false,true,0.000,0.000
